Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Exports of goods and services (current US$),NE.EXP.GNFS.CD,"Egypt, Arab Rep.",EGY,8748317631.22476,16174959635.99,45766666666.6667,49085271317.8295,43529411764.7059,43423180592.9919,34392638036.8098,37289402173.913,47225661226.7867,53041002277.9043,47872738615.0967,44850223072.0204
Exports of goods and services (current US$),NE.EXP.GNFS.CD,El Salvador,SLV,891100175.4,3161574400,6110250000,6536790000,6677020000,6911040000,6884540000,7251400000,7528970000,8052490000,6295300000,8490950000
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Equatorial Guinea,GNQ,..,..,16098338224.4035,14849115083.3084,14357209503.5354,7470701273.33407,5779218083.66306,7181836155.19529,7807722255.87883,5810566792.56747,4391793754.53885,6806230926.43924
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Eritrea,ERI,..,68310441.5584416,..,..,..,..,..,..,..,..,..,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Estonia,EST,..,3504490924.16843,19844301075.3844,21239933054.6291,21804108132.1015,17725575721.5992,18537893089.3891,20411337063.7789,22761485754.8768,22964765757.1764,21731484847.4615,29119437814.5654
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Eswatini,SWZ,657911722.645229,1238728118.96596,1793016565.16443,1863608072.41769,1939667087.45289,1751537858.04508,1681302489.53065,1915868748.78089,1886791240.24743,2051993384.90707,1788677595.42935,2137038522.93789
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Ethiopia,ETH,..,..,5962716169.22631,5948437727.40764,6474164234.1889,6047701984.51402,5804111646.50643,6238595144.93368,7055599390.22989,7615437260.73101,7672983060.57996,8448635570.26166
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Faroe Islands,FRO,..,547809627.494402,1275718601.64005,1491480155.97457,1556489977.72829,1369743902.25776,1534263261.88036,1679701343.34913,1684160516.89735,1821708099.67913,1551764723.86543,1923048782.42751
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Fiji,FJI,833547167.263151,1097340975.28892,2427342309.62624,2382948683.13875,2541991204.36603,2286803966.43783,2299804267.91426,2463399293.62814,2665037846.12436,2638400296.24144,1232063814.09074,1173174616.53627
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Finland,FIN,31323277872.8036,52967332461.1766,100237927391.016,103165553050.196,100273910699.215,83041492298.8281,83813596801.1675,95994657970.5884,106061524525.49,107085573184.314,97673758060.7007,117187092662.789
Exports of goods and services (current US$),NE.EXP.GNFS.CD,France,FRA,266219732562.342,390504309338.04,783713381111.719,825700281806.669,847269974207.056,746211770692.968,748010809661.091,803163777629.413,885114776507.45,862106200525.489,724413895982.881,871058669864.327
Exports of goods and services (current US$),NE.EXP.GNFS.CD,French Polynesia,PYF,..,169124084.178915,..,..,..,..,..,1140826123.62981,..,1212133721.24114,638903797.705294,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Gabon,GAB,2740347018.86245,3507168322.5196,10465457223.2289,10092463252.248,8104569005.66331,6620833366.11911,6175468938.5318,7498597594.24114,9158802458.42339,8678687828.8877,7275153456.62075,11280880844.737
